scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Pachyramphus versicolor,NA,Barred Becard,NA,Wellenbekarde,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Hartlaub, 1843)","MA, SA: Costa Rica bis nw Bolivien",Pachyramphus versicolor_Barred Becard,Barred Becard,barbec1,species,15377,BABE,NA,PAVE,Passeriformes,tityri1,Tityras and Allies,Tityridae,NA,NA,NA
Crypturellus undulatus,NA,Undulated Tinamou,NA,Wellentinamu,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1815)",SA: sz Amazonien,Crypturellus undulatus_Undulated Tinamou,Undulated Tinamou,undtin1,species,83,NA,UNTI,CRUN,Tinamiformes,tinami1,Tinamous,Tinamidae,NA,NA,NA
Jynx torquilla,NA,Eurasian Wryneck,NA,Wendehals,Wh,1,1,1,1,1,2,,1,1,NA,NA,"Linnaeus, 1758",PAL: weit verbreitet,Jynx torquilla_Eurasian Wryneck,Eurasian Wryneck,eurwry,species,10519,EUWR,NA,JYTO,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Pernis apivorus,NA,European Honey-buzzard,NA,Wespenbussard,Wsb,1,1,1,1,2,2,,1,NA,1,NA,"(Linnaeus, 1758)",NA,Pernis apivorus_European Honey-buzzard,European Honey-buzzard,euhbuz1,species,7471,NA,"EUHB,EHBU",PEAP,Accipitriformes,accipi1,"Hawks, Eagles, and Kites",Accipitridae,NA,NA,NA
Megascops kennicottii,NA,Western Screech-Owl,NA,Westkreischeule,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Elliot, DG, 1867)",NA,Megascops kennicottii_Western Screech-Owl,Western Screech-Owl,wesowl1,species,8430,WESO,WSOW,MEKE,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Larus occidentalis,NA,Western Gull,NA,Westmöwe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Audubon, 1839",NA: w Küste,Larus occidentalis_Western Gull,Western Gull,wesgul,species,6331,WEGU,NA,LAOC,Charadriiformes,larida1,"Gulls, Terns, and Skimmers",Laridae,NA,NA,NA
Phylloscopus whistleri,NA,Whistler's Warbler,NA,Whistlerlaubsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,1,"(Ticehurst, 1925)",OR: Himalaja bis Myanmar,Phylloscopus whistleri_Whistler's Warbler,Whistler's Warbler,whiwar2,species,24047,NA,WHWA,PHWH,Passeriformes,phyllo4,Leaf Warblers,Phylloscopidae,NA,NA,NA
Upupa epops,NA,Eurasian Hoopoe,NA,Wiedehopf,Wi,1,1,1,1,2,2,,,1,1,NA,"Linnaeus, 1758","PAL, OR: weit verbreitet",Upupa epops_Eurasian Hoopoe,Eurasian Hoopoe,hoopoe,species,9161,EHOO,"COHO,HOOP,EUHO",UPEP,Bucerotiformes,upupid1,Hoopoes,Upupidae,NA,NA,NA
Emberiza cioides,NA,Meadow Bunting,NA,Wiesenammer,,3,3,NA,NA,NA,NA,,,NA,1,NA,"von Brandt, JF, 1843",PAL: e,Emberiza cioides_Meadow Bunting,Meadow Bunting,meabun1,species,31645,NA,MEBU,EMCI,Passeriformes,emberi2,Old World Buntings,Emberizidae,NA,NA,NA
Geothlypis poliocephala,NA,Gray-crowned Yellowthroat,NA,Wiesengelbkehlchen,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Baird, SF, 1865",NA,Geothlypis poliocephala_Gray-crowned Yellowthroat,Gray-crowned Yellowthroat,gycyel,species,32887,GCYE,NA,GEPO,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Anthus pratensis,NA,Meadow Pipit,NA,Wiesenpieper,W,1,1,1,1,1,2,,,1,1,NA,"(Linnaeus, 1758)",PAL: Island über w und n Europa bis w Russland,Anthus pratensis_Meadow Pipit,Meadow Pipit,meapip1,species,30807,MEPI,NA,ANPR,Passeriformes,motaci1,Wagtails and Pipits,Motacillidae,NA,NA,NA
Sturnella neglecta,NA,Western Meadowlark,NA,Wiesenstärling,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Audubon, 1844","NA, MA: sw und sz Kanada über w USA bis z Mexiko",Sturnella neglecta_Western Meadowlark,Western Meadowlark,wesmea,species,32471,WEME,NA,STNE,Passeriformes,icteri1,Troupials and Allies,Icteridae,NA,NA,NA
Calidris minutilla,NA,Least Sandpiper,NA,Wiesenstrandläufer,,3,3,NA,NA,3,NA,,,NA,NA,NA,"(Vieillot, 1819)",NA: Alaska und n Kanada,Calidris minutilla_Least Sandpiper,Least Sandpiper,leasan,species,5948,LESA,NA,CAMI,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Circus pygargus,NA,Montagu's Harrier,NA,Wiesenweihe,Ww,1,1,2,2,2,2,,,NA,1,NA,"(Linnaeus, 1758)",PAL: w Europa und nw Afrika bis z Asien,Circus pygargus_Montagu's Harrier,Montagu's Harrier,monhar1,species,7737,NA,MOHA,CIPY,Accipitriformes,accipi1,"Hawks, Eagles, and Kites",Accipitridae,NA,NA,NA
Gallinago delicata,NA,Wilson's Snipe,NA,Wilsonbekassine,,3,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Ord, 1825)","NA, MA, SA: weit verbreitet bis nw SA",Gallinago delicata_Wilson's Snipe,Wilson's Snipe,wilsni1,species,5998,WISN,NA,GADE,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
