scientific.name,scientific.name.new,english.name,english.name.new,deutscher.name,DDA_Kuerzel,western_palearctic,middle_europe,baden_wuerttemberg,bavarian_forest,voslappergroden,neerie,neerie_live,ICE_Werk_live,Ziegenmelker_Zwergohreule_Wallis,eastern_palearctic,Südostasien,Autor,Brutverbreitung,birdnet.names,comName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyCode,familyComName,familySciName,reportAs,extinct,extinctYear
Pooecetes gramineus,NA,Vesper Sparrow,NA,Abendammer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1789)","NA: w, n",Pooecetes gramineus_Vesper Sparrow,Vesper Sparrow,vesspa,species,32128,VESP,NA,POGR,Passeriformes,passer3,New World Sparrows,Passerellidae,NA,NA,NA
Calidris falcinellus,NA,Broad-billed Sandpiper,NA,Sumpfläufer,,1,2,2,2,2,2,,,NA,1,1,,,Calidris falcinellus_Broad-billed Sandpiper,Broad-billed Sandpiper,brbsan,species,5912,BBIS,BBSA,CAFA,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Coccothraustes vespertinus,Hesperiphona vespertina,Evening Grosbeak,NA,Abendkernbeißer,,3,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"NA, MA: Kanada bis sw Mexiko",Coccothraustes vespertinus_Evening Grosbeak,Evening Grosbeak,evegro,species,31032,EVGR,NA,COVE,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Otus senegalensis,NA,African Scops-Owl,NA,Afrika-Zwergohreule,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Swainson, 1837)",NA,Otus senegalensis_African Scops-Owl,African Scops-Owl,afsowl1,species,8335,NA,"ASOW,AFSO",OTSE,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Turdus pelios,NA,African Thrush,NA,Afrikadrossel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Bonaparte, 1850","AF: w, z",Turdus pelios_African Thrush,African Thrush,afrthr1,species,27696,NA,AFTH,TUPE,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Strix woodfordii,NA,African Wood-Owl,NA,Afrikakauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Smith, A, 1834)",NA,Strix woodfordii_African Wood-Owl,African Wood-Owl,afwowl1,species,8799,NA,"AWOW,AFWO",STWO,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Saxicola torquatus,NA,African Stonechat,NA,Afrikaschwarzkehlchen,,3,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)","AF: SW Arabische Halbinsel, Afrika s der Sahara",Saxicola torquatus_African Stonechat,African Stonechat,afrsto1,species,28691,NA,"CS,AFST,COST",SATO,Passeriformes,muscic3,Old World Flycatchers,Muscicapidae,NA,NA,NA
Thryophilus pleurostictus,NA,Banded Wren,NA,Akazienzaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Sclater, PL, 1860)",MA: weit verbreitet,Thryophilus pleurostictus_Banded Wren,Banded Wren,banwre1,species,26599,BANW,BAWR,THPL,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Psittacula eupatria,NA,Alexandrine Parakeet,NA,Alexandersittich,Asi,1,0,NA,NA,NA,NA,,,NA,NA,1,"(Linnaeus, 1766)",OR: Indien bs Südostasien,Psittacula eupatria_Alexandrine Parakeet,Alexandrine Parakeet,alepar2,species,11800,NA,ALPA,PSEU,Psittaciformes,psitta4,Old World Parrots,Psittaculidae,NA,NA,NA
Acanthis cabaret,NA,Lesser Redpoll,NA,Alpenbirkenzeisig,Bz,1,1,1,1,1,2,,,1,1,NA,"(Müller, PLS, 1776)",PAL: Großbritannien bis z Europa,Acanthis cabaret_Lesser Redpoll,Lesser Redpoll,lesred1,species,31428,LERE,RE,ACCA,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Prunella collaris,NA,Alpine Accentor,NA,Alpenbraunelle,Ab,1,1,2,2,3,NA,,,1,1,NA,"(Scopoli, 1769)","PAL: sw, sz, e, auch nw Afrika",Prunella collaris_Alpine Accentor,Alpine Accentor,alpacc1,species,30442,NA,ALAC,PRCO,Passeriformes,prunel1,Accentors,Prunellidae,NA,NA,NA
Pyrrhocorax graculus,NA,Yellow-billed Chough,NA,Alpendohle,Ad,1,1,2,2,NA,NA,,,1,1,NA,"(Linnaeus, 1766)",NA,Pyrrhocorax graculus_Yellow-billed Chough,Yellow-billed Chough,yebcho1,species,20714,NA,"ALCH,YBC,YBCH",PYGR,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Pyrrhocorax pyrrhocorax,NA,Red-billed Chough,NA,Alpenkrähe,,1,1,NA,NA,NA,NA,,,1,1,NA,"(Linnaeus, 1758)","PAL: weit verbreitet, auch nw, ne Afrika",Pyrrhocorax pyrrhocorax_Red-billed Chough,Red-billed Chough,rebcho1,species,20704,NA,RBCH,PYPY,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Lagopus muta,NA,Rock Ptarmigan,NA,Alpenschneehuhn,Ash,1,1,NA,NA,NA,NA,,,1,1,NA,"(Montin, 1781)","NA, PAL: n",Lagopus muta_Rock Ptarmigan,Rock Ptarmigan,rocpta1,species,1276,ROPT,NA,LAMU,Galliformes,phasia1,"Pheasants, Grouse, and Allies",Phasianidae,NA,NA,NA
Apus melba,NA,Alpine Swift,NA,Alpensegler,As,1,1,1,1,3,2,,,1,1,1,NA,"PAL, AF: weit verbreitet, auch Indien",Apus melba_Alpine Swift,Alpine Swift,alpswi1,species,3985,ALSW,NA,APME,Caprimulgiformes,apodid1,Swifts,Apodidae,NA,NA,NA
Calidris alpina,NA,Dunlin,NA,Alpenstrandläufer,Asl,1,1,1,1,1,2,,,2,1,NA,"(Linnaeus, 1758)","NA, PAL: n",Calidris alpina_Dunlin,Dunlin,dunlin,species,5923,DUNL,NA,CAAL,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Cercomacroides laeta,NA,Willis's Antbird,NA,Amazonasameisenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Todd, 1920)","SA: nz, se Amazonien, e Brasilien",Cercomacroides laeta_Willis's Antbird,Willis's Antbird,wilant1,species,13300,NA,WIAN,CELA,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Chloroceryle amazona,NA,Amazon Kingfisher,NA,Amazonasfischer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Latham, 1790)","MA, SA: z Mexiko bis z Argentinien",Chloroceryle amazona_Amazon Kingfisher,Amazon Kingfisher,amakin1,species,9788,AMKI,NA,CHAM,Coraciiformes,alcedi1,Kingfishers,Alcedinidae,NA,NA,NA
Momotus momota,NA,Amazonian Motmot,NA,Amazonasmotmot,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)",SA: Amazonien,Momotus momota_Amazonian Motmot,Amazonian Motmot,bucmot4,species,9350,NA,AMMO,MOMO,Coraciiformes,momoti1,Motmots,Momotidae,NA,NA,NA
Polioptila plumbea,NA,Tropical Gnatcatcher,NA,Amazonasmückenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1788)","MA, SA: s Mexiko bis Peru und ne Brasilien",Polioptila plumbea_Tropical Gnatcatcher,Tropical Gnatcatcher,trogna1,species,26195,TRGN,NA,POPL,Passeriformes,poliop1,Gnatcatchers,Polioptilidae,NA,NA,NA
Laterallus exilis,NA,Gray-breasted Crake,NA,Amazonasralle,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1831)",NA,Laterallus exilis_Gray-breasted Crake,Gray-breasted Crake,grbcra1,species,5513,GBCR,NA,LAEX,Gruiformes,rallid1,"Rails, Gallinules, and Coots",Rallidae,NA,NA,NA
Trogon ramonianus,NA,Amazonian Trogon,NA,Amazonastrogon,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Deville & Des Murs, 1849",SA: Amazonien,Trogon ramonianus_Amazonian Trogon,Amazonian Trogon,viotro3,species,9052,NA,"AMTR,VT",TRRA,Trogoniformes,trogon1,Trogons,Trogonidae,NA,NA,NA
Glaucidium hardyi,NA,Amazonian Pygmy-Owl,NA,Amazonaszwergkauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Vielliard, 1989",NA,Glaucidium hardyi_Amazonian Pygmy-Owl,Amazonian Pygmy-Owl,amapyo1,species,8599,NA,"APOW,AMPO",GLHA,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Dendrocolaptes certhia,NA,Amazonian Barred-Woodcreeper,NA,Amazonien-Bindenbaumsteiger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Boddaert, 1783)",NA,Dendrocolaptes certhia_Amazonian Barred-Woodcreeper,Amazonian Barred-Woodcreeper,amabaw1,species,14083,NA,"ABWO,AMBW",DECE,Passeriformes,furnar2,Ovenbirds and Woodcreepers,Furnariidae,NA,NA,NA
Myrmotherula multostriata,NA,Amazonian Streaked-Antwren,NA,Amazonien-Strichelameisenschlüpfer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Sclater, PL, 1858",NA,Myrmotherula multostriata_Amazonian Streaked-Antwren,Amazonian Streaked-Antwren,amasta1,species,13130,NA,"AMSA,ASAN",MYMU,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Rhynchocyclus olivaceus,NA,Olivaceous Flatbill,NA,Amazonien-Breitschnabeltyrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1820)","MA, SA: Panama über Amazonien, e Brasilien",Rhynchocyclus olivaceus_Olivaceous Flatbill,Olivaceous Flatbill,olifla1,species,15798,OLFL,EOFL,RHOL,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
Thamnophilus amazonicus,NA,Amazonian Antshrike,NA,Amazonienameisenwürger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Sclater, PL, 1858",SA: Amazonien,Thamnophilus amazonicus_Amazonian Antshrike,Amazonian Antshrike,amaant2,species,13006,NA,AMAN,THAM,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Anurolimnas viridis,Laterallus viridis,Russet-crowned Crake,NA,Amazonienralle,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,SA: Amazonien,Anurolimnas viridis_Russet-crowned Crake,Russet-crowned Crake,ruccra1,species,5486,NA,RCCR,ANVI,Gruiformes,rallid1,"Rails, Gallinules, and Coots",Rallidae,NA,NA,NA
Tyranneutes stolzmanni,NA,Dwarf Tyrant-Manakin,NA,Amazonienzwergpipra,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Hellmayr, 1906)","SA: w, s Amazonien",Tyranneutes stolzmanni_Dwarf Tyrant-Manakin,Dwarf Tyrant-Manakin,dwtman1,species,15040,NA,"DWTM,DTMA",TYST,Passeriformes,piprid1,Manakins,Pipridae,NA,NA,NA
Anhinga anhinga,NA,Anhinga,NA,Amerika-Schlangenhalsvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Linnaeus, 1766)","NA, MA, SA: sz und se USA bis n Argentinien",Anhinga anhinga_Anhinga,Anhinga,anhing,species,7015,ANHI,NA,ANAN,Suliformes,anhing3,Anhingas,Anhingidae,NA,NA,NA
Certhia americana,NA,Brown Creeper,NA,Amerikabaumläufer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Bonaparte, 1838","NA, MA: weit verbreitet",Certhia americana_Brown Creeper,Brown Creeper,brncre,species,26109,BRCR,"AMTR,ABCR",CEAM,Passeriformes,certhi2,Treecreepers,Certhiidae,NA,NA,NA
Corvus brachyrhynchos,NA,American Crow,NA,Amerikakrähe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Brehm, CL, 1822",NA: weit verbreitet,Corvus brachyrhynchos_American Crow,American Crow,amecro,species,20762,AMCR,NA,COBR,Passeriformes,corvid1,"Crows, Jays, and Magpies",Corvidae,NA,NA,NA
Rynchops niger,NA,Black Skimmer,NA,Amerikascherenschnabel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Linnaeus, 1758","NA, MA, SA: weit verbreitet",Rynchops niger_Black Skimmer,Black Skimmer,blkski,species,6580,BLSK,NA,RYNI,Charadriiformes,larida1,"Gulls, Terns, and Skimmers",Laridae,NA,NA,NA
Gallinula galeata,NA,Common Gallinule,NA,Amerikateichhuhn,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Lichtenstein, MHK, 1818)","NA, SA, PO: weit verbreitet",Gallinula galeata_Common Gallinule,Common Gallinule,comgal1,species,5327,COGA,"ʻʻ,AMMO",GAGA,Gruiformes,rallid1,"Rails, Gallinules, and Coots",Rallidae,NA,NA,NA
Colibri serrirostris,NA,White-vented Violetear,NA,Amethystohrkolibri,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Vieillot, 1816)",SA: Bolivien und n Argentinien bis e und se Brasilien,Colibri serrirostris_White-vented Violetear,White-vented Violetear,wvvear1,species,4255,NA,"WVVI,WVVE",COSE,Caprimulgiformes,trochi1,Hummingbirds,Trochilidae,NA,NA,NA
Turdus merula,NA,Eurasian Blackbird,NA,Amsel,A,1,1,1,1,1,1,,,1,1,NA,"Linnaeus, 1758",NA,Turdus merula_Eurasian Blackbird,Eurasian Blackbird,eurbla,species,27511,EUBB,"COBL,EUBL",TUME,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Eubucco bourcierii,NA,Red-headed Barbet,NA,Andenbartvogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Lafresnaye, 1845)","MA, SA: Costa Rica bis Ecuador",Eubucco bourcierii_Red-headed Barbet,Red-headed Barbet,rehbar1,species,10342,RHBA,NA,EUBO,Piciformes,capito2,New World Barbets,Capitonidae,NA,NA,NA
Gallinago jamesoni,NA,Jameson's Snipe,NA,Andenbekassine,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Jardine & Bonaparte, 1855)",SA: Venezuela bis Bolivien,Gallinago jamesoni_Jameson's Snipe,Jameson's Snipe,andsni1,species,5986,NA,"JASN,ANSN",GAJA,Charadriiformes,scolop2,Sandpipers and Allies,Scolopacidae,NA,NA,NA
Rupicola peruvianus,NA,Andean Cock-of-the-rock,NA,Andenfelsenhahn,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Latham, 1790)",SA: w Venezuela bis Bolivien,Rupicola peruvianus_Andean Cock-of-the-rock,Andean Cock-of-the-rock,andcot1,species,15248,NA,ACOT,RUPE,Passeriformes,coting1,Cotingas,Cotingidae,NA,NA,NA
Turdus nigriceps,NA,Andean Slaty Thrush,NA,Andengraudrossel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Cabanis, 1874",SA: s Ecuador bis n Argentinien,Turdus nigriceps_Andean Slaty Thrush,Andean Slaty Thrush,slathr2,species,27676,NA,ASTH,TUNI,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Penelope montagnii,NA,Andean Guan,NA,Andenguan,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Bonaparte, 1856)",SA: Kolumbien bis Bolivien,Penelope montagnii_Andean Guan,Andean Guan,andgua1,species,804,NA,ANGU,PEMO,Galliformes,cracid2,"Guans, Chachalacas, and Curassows",Cracidae,NA,NA,NA
Myadestes ralloides,NA,Andean Solitaire,NA,Andenklarino,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(d'Orbigny, 1840)",SA: n Venezuela bis w Bolivien,Myadestes ralloides_Andean Solitaire,Andean Solitaire,andsol1,species,27244,NA,ANSO,MYRA,Passeriformes,turdid1,Thrushes and Allies,Turdidae,NA,NA,NA
Myiodynastes chrysocephalus,NA,Golden-crowned Flycatcher,NA,Andenmaskentyrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Tschudi, 1844)","MA, SA: Panama, n Venezuela bis nw Argentinien",Myiodynastes chrysocephalus_Golden-crowned Flycatcher,Golden-crowned Flycatcher,gocfly1,species,16755,GOCF,"GCFL,GBCF",MYCH,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
Chroicocephalus serranus,NA,Andean Gull,NA,Andenmöwe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Tschudi, 1844)",SA: Ecuador bis sz Chile und sz Argentinien,Chroicocephalus serranus_Andean Gull,Andean Gull,andgul1,species,6268,NA,ANGU,CHSE,Charadriiformes,larida1,"Gulls, Terns, and Skimmers",Laridae,NA,NA,NA
Myiarchus cephalotes,NA,Pale-edged Flycatcher,NA,Andenschopftyrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Taczanowski, 1880",SA: n Venezuela bis Bolivien,Myiarchus cephalotes_Pale-edged Flycatcher,Pale-edged Flycatcher,paefly1,species,16653,NA,PEFL,MYCE,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
Troglodytes solstitialis,NA,Mountain Wren,NA,Andenzaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Sclater, PL, 1859",SA: Kolumbien bis n Argentinien,Troglodytes solstitialis_Mountain Wren,Mountain Wren,mouwre1,species,26326,NA,MOWR,TRSO,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Glaucidium jardinii,NA,Andean Pygmy-Owl,NA,Andenzwergkauz,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Bonaparte, 1855)",NA,Glaucidium jardinii_Andean Pygmy-Owl,Andean Pygmy-Owl,anpowl1,species,8587,NA,"APOW,ANPO",GLJA,Strigiformes,strigi1,Owls,Strigidae,NA,NA,NA
Calypte anna,NA,Anna's Hummingbird,NA,Annakolibri,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Lesson, R, 1829)","NA: sw Kanada, w USA, nw Mexiko",Calypte anna_Anna's Hummingbird,Anna's Hummingbird,annhum,species,4699,ANHU,NA,CAAN,Caprimulgiformes,trochi1,Hummingbirds,Trochilidae,NA,NA,NA
Chordeiles gundlachii,NA,Antillean Nighthawk,NA,Antillennachtschwalbe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Lawrence, 1857","NA: s Florida, Bahamas, Kuba, Hispaniola, Jamaica,",Chordeiles gundlachii_Antillean Nighthawk,Antillean Nighthawk,antnig,species,3451,ANNI,NA,CHGU,Caprimulgiformes,caprim2,Nightjars and Allies,Caprimulgidae,NA,NA,NA
Sternula antillarum,NA,Least Tern,NA,Antillenseeschwalbe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Lesson, R, 1847","NA, MA: weit verbreitet",Sternula antillarum_Least Tern,Least Tern,leater1,species,6472,LETE,NA,STAN,Charadriiformes,larida1,"Gulls, Terns, and Skimmers",Laridae,NA,NA,NA
Thryophilus sernai,NA,Antioquia Wren,NA,Antioquiazaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Lara, Cuervo, Valderrama,",SA: nw Kolumbien,Thryophilus sernai_Antioquia Wren,Antioquia Wren,antwre2,species,26613,NA,ANWR,THSE,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Himatione sanguinea,NA,Apapane,NA,Apapanekleidervogel,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Gmelin, JF, 1788)",PO: Hawaii,Himatione sanguinea_Apapane,Apapane,apapan,species,31067,APAP,ʻA,HISA,Passeriformes,fringi1,"Finches, Euphonias, and Allies",Fringillidae,NA,NA,NA
Cistothorus apolinari,NA,Apolinar's Wren,NA,Apolinarzaunkönig,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Chapman, 1914",SA: Kolumbien,Cistothorus apolinari_Apolinar's Wren,Apolinar's Wren,apowre1,species,26416,NA,APWR,CIAP,Passeriformes,troglo1,Wrens,Troglodytidae,NA,NA,NA
Leptasthenura setaria,NA,Araucaria Tit-Spinetail,NA,Araukarienmeisenschlüpfer,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Temminck, 1824)",SA: ne Argentinien und se Brasilien,Leptasthenura setaria_Araucaria Tit-Spinetail,Araucaria Tit-Spinetail,artspi1,species,14711,NA,"ARTS,ATSP",LESE,Passeriformes,furnar2,Ovenbirds and Woodcreepers,Furnariidae,NA,NA,NA
Argusianus argus,NA,Great Argus,NA,Argusfasan,,NA,NA,NA,NA,NA,NA,,,NA,NA,1,"(Linnaeus, 1766)","OR: Malaiische Halbinsel, Sumatra, Borneo",Argusianus argus_Great Argus,Great Argus,grearg1,species,1467,NA,GRAR,ARAR,Galliformes,phasia1,"Pheasants, Grouse, and Allies",Phasianidae,NA,NA,NA
Dryobates arizonae,Leuconotopicus arizonae,Arizona Woodpecker,NA,Arizonaspecht,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,"NA, MA: sw USA, w, n Mexiko",Dryobates arizonae_Arizona Woodpecker,Arizona Woodpecker,ariwoo,species,10952,ARWO,NA,DRAR,Piciformes,picida1,Woodpeckers,Picidae,NA,NA,NA
Setophaga graciae,NA,Grace's Warbler,NA,Arizonawaldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Baird, SF, 1865)",NA: sw USA und Mexiko bis Nicaragua,Setophaga graciae_Grace's Warbler,Grace's Warbler,grawar,species,33069,GRWA,NA,SEGR,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Geospizopsis plebejus,Phrygilus plebejus,Ash-breasted Sierra-Finch,NA,Aschbrust-Ammertangare,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,Geospizopsis plebejus_Ash-breasted Sierra-Finch,Ash-breasted Sierra Finch,absfin1,species,34236,NA,ABSF,GEPL,Passeriformes,thraup2,Tanagers and Allies,Thraupidae,NA,NA,NA
Hemixos flavala,NA,Ashy Bulbul,NA,Aschbülbül,,NA,NA,NA,NA,NA,NA,,,NA,1,1,"Blyth, 1845","OR: Indischer Subkontinent, Myanmar, sw China, w, ne",Hemixos flavala_Ashy Bulbul,Ashy Bulbul,ashbul1,species,23905,NA,ASBU,HEFL,Passeriformes,pycnon4,Bulbuls,Pycnonotidae,NA,NA,NA
Cercomacra cinerascens,NA,Gray Antbird,NA,Aschgrau-Ameisenfänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Sclater, PL, 1857)",NA,Cercomacra cinerascens_Gray Antbird,Gray Antbird,gryant2,species,13323,NA,GRAN,CECI,Passeriformes,thamno3,Typical Antbirds,Thamnophilidae,NA,NA,NA
Myornis senilis,NA,Ash-colored Tapaculo,NA,Aschgrautapaculo,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Lafresnaye, 1840)",SA: Kolumbien bis Peru,Myornis senilis_Ash-colored Tapaculo,Ash-colored Tapaculo,asctap1,species,13776,NA,ACTA,MYSE,Passeriformes,rhinoc1,Tapaculos,Rhinocryptidae,NA,NA,NA
Hylophilus pectoralis,NA,Ashy-headed Greenlet,NA,Aschkopfvireo,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"Sclater, PL, 1866","SA: n, z Amazonien",Hylophilus pectoralis_Ashy-headed Greenlet,Ashy-headed Greenlet,ashgre1,species,18359,NA,AHGR,HYPE,Passeriformes,vireon1,"Vireos, Shrike-Babblers, and Erpornis",Vireonidae,NA,NA,NA
Eudynamys scolopaceus,NA,Asian Koel,NA,Asienkoel,,3,NA,NA,NA,NA,NA,,,NA,1,NA,"(Linnaeus, 1758)","OR: weit verbreitet, auch Kleine Sundainseln",Eudynamys scolopaceus_Asian Koel,Asian Koel,asikoe2,species,3200,NA,"ASKO,WEKO",EUSC,Cuculiformes,cuculi1,Cuckoos,Cuculidae,NA,NA,NA
Puffinus puffinus,NA,Manx Shearwater,NA,Atlantiksturmtaucher,,1,1,NA,NA,NA,NA,,,NA,1,NA,"(Brünnich, 1764)",AO: weit verbreitet,Puffinus puffinus_Manx Shearwater,Manx Shearwater,manshe,species,6881,MASH,NA,PUPU,Procellariiformes,procel3,Shearwaters and Petrels,Procellariidae,NA,NA,NA
Tetrao urogallus,NA,Western Capercaillie,NA,Auerhuhn,Ah,1,1,1,1,NA,NA,,,1,1,NA,"Linnaeus, 1758","PAL: nw, nz",Tetrao urogallus_Western Capercaillie,Western Capercaillie,wescap1,species,1324,NA,WECA,TEUR,Galliformes,phasia1,"Pheasants, Grouse, and Allies",Phasianidae,NA,NA,NA
Garrulax canorus,NA,Chinese Hwamei,NA,Augenbrauenhäherling,,NA,NA,NA,NA,NA,NA,,,NA,1,1,"(Linnaeus, 1758)","OR: s, ez China bis z Vietnam",Garrulax canorus_Chinese Hwamei,Chinese Hwamei,melthr,species,25808,HWAM,CHHW,GACA,Passeriformes,leioth1,Laughingthrushes and Allies,Leiothrichidae,NA,NA,NA
Thlypopsis superciliaris,Hemispingus superciliaris,Superciliaried Hemispingus,NA,Augenbrauentangare,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,SA: Venezuela bis n Bolivien,Thlypopsis superciliaris_Superciliaried Hemispingus,Superciliaried Hemispingus,suphem1,species,33569,NA,"SUHE,EYHE",THSU,Passeriformes,thraup2,Tanagers and Allies,Thraupidae,NA,NA,NA
Micropygia schomburgkii,NA,Ocellated Crake,NA,Augenfleckenralle,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Schomburgk, 1848)","SA: n, sz, se",Micropygia schomburgkii_Ocellated Crake,Ocellated Crake,ocecra1,species,5480,OCCR,NA,MISC,Gruiformes,rallid1,"Rails, Gallinules, and Coots",Rallidae,NA,NA,NA
Nyctiphrynus ocellatus,NA,Ocellated Poorwill,NA,Augennachtschwalbe,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Tschudi, 1844)","MA, SA: weit verbreitet",Nyctiphrynus ocellatus_Ocellated Poorwill,Ocellated Poorwill,ocepoo1,species,3533,OCPO,NA,NYOC,Caprimulgiformes,caprim2,Nightjars and Allies,Caprimulgidae,NA,NA,NA
Hemitriccus orbitatus,NA,Eye-ringed Tody-Tyrant,NA,Augenring-Todityrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(zu Wied-Neuwied, 1831)",SA: se Brasilien,Hemitriccus orbitatus_Eye-ringed Tody-Tyrant,Eye-ringed Tody-Tyrant,erttyr1,species,15691,NA,ERTT,HEOR,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
Oporornis agilis,NA,Connecticut Warbler,NA,Augenring-Waldsänger,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(Wilson, A, 1812)",NA: sz Kanada und nz USA,Oporornis agilis_Connecticut Warbler,Connecticut Warbler,conwar,species,32886,CONW,COWA,OPAG,Passeriformes,paruli1,New World Warblers,Parulidae,NA,NA,NA
Cnemotriccus fuscatus,NA,Fuscous Flycatcher,NA,Augenstreif-Schnäppertyrann,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,"(zu Wied-Neuwied, 1831)",SA: weit verbreitet,Cnemotriccus fuscatus_Fuscous Flycatcher,Fuscous Flycatcher,fusfly1,species,16273,NA,FUFL,CNFU,Passeriformes,tyrann2,Tyrant Flycatchers,Tyrannidae,NA,NA,NA
